host,level,response_ms
host-c,INFO,2.7016762526558513
host-a,ERROR,66.74684953355283
host-c,WARN,39.53924683047265
host-c,INFO,3.5845070322650536
host-a,INFO,97.01473824753299
host-a,INFO,24.053793689209527
host-c,INFO,93.80879168298164
host-b,INFO,31.237965390589512
host-c,INFO,13.799678088017012
host-c,INFO,21.68148233374327
host-c,INFO,27.7263898690707
host-c,INFO,63.2012989820299
host-a,INFO,15.285327301383658
host-c,INFO,5.855019172191199
host-b,INFO,49.36972852756539
host-a,INFO,13.434233887577463
host-b,WARN,41.7158237048242
host-b,WARN,60.37535620266405
host-b,INFO,29.689623960168703
host-b,WARN,4.11561018496738
host-a,INFO,7.368820684392443
host-a,WARN,31.48578768876496
host-b,INFO,14.310135641477936
host-b,INFO,6.767060193002735
host-a,INFO,3.433775339992141
host-a,INFO,104.12225685383505
host-a,INFO,2.136257205831069
host-c,INFO,26.211682705872125
host-c,INFO,66.59563086975163
host-c,ERROR,26.82055881988609
host-b,INFO,49.356535133171576
host-c,INFO,1.55477551792632
host-b,INFO,2.6960491299049782
host-b,WARN,72.15323317578762
host-c,INFO,32.718785264948075
host-b,INFO,17.119540701356435
host-c,INFO,115.82459976197819
host-c,INFO,8.282674722405597
host-a,INFO,26.45281381951759
host-c,INFO,29.075646655852584
host-a,INFO,36.39453310055315
host-c,INFO,19.41197275713102
host-c,INFO,30.571392696389204
host-a,INFO,34.44273766461438
host-a,INFO,29.294968122953936
host-c,INFO,28.770153707671582
host-b,INFO,11.375376312839688
host-a,INFO,66.87870602601274
host-b,WARN,28.762904020758047
host-b,INFO,20.30546386359161
host-b,INFO,38.13231252971948
host-a,INFO,10.696058571546772
host-b,INFO,67.34603750228699
host-a,INFO,16.297957985560622
host-b,INFO,63.893925848676005
host-c,INFO,10.876889179123758
host-c,WARN,4.1621554981934965
host-a,INFO,37.20588093636392
host-c,INFO,198.14519945297312
host-c,INFO,49.5153986998955
host-b,INFO,28.424055932892646
host-a,INFO,18.05156041672021
host-b,INFO,43.914865653673004
host-b,INFO,15.427721564563857
host-b,INFO,10.117903613042012
host-b,INFO,18.846824091014376
host-b,INFO,3.001973449129647
host-b,WARN,7.008019332412093
host-b,INFO,26.96060738847812
host-a,WARN,161.23225287827546
host-c,INFO,36.41870681345899
host-b,INFO,11.21770484150637
host-b,INFO,31.577298751890915
host-b,INFO,10.640123803444896
host-b,INFO,56.60013181099088
host-b,INFO,19.938548098880645
host-b,WARN,24.912803177847973
host-c,ERROR,2.8544835752467828
host-c,INFO,26.45485208621508
host-b,INFO,11.581137373320114
host-c,WARN,7.492369174578572
host-a,WARN,30.018820023434937
host-b,INFO,12.742380664540612
host-a,INFO,39.1509216901483
host-a,ERROR,38.681692962982545
host-b,INFO,10.276016402901643
host-c,INFO,28.85195551565175
host-a,INFO,93.84481088344432
host-b,ERROR,50.189851233178274
host-a,INFO,2.5031976594923573
host-a,INFO,11.29865906116204
host-a,INFO,12.862894312782345
host-a,INFO,18.387099787010282
host-c,INFO,52.581506309522005
host-a,WARN,92.46188473802137
host-a,INFO,20.76769597251972
host-a,INFO,7.770432638603564
host-c,INFO,3.5122353056188187
host-a,INFO,26.159938150068996
host-a,INFO,97.41491973249833
host-c,INFO,116.65939747492627
host-c,INFO,8.059806454718553
host-c,INFO,31.800448787369106
host-a,INFO,81.57919859696925
host-c,INFO,139.9126294838007
host-c,WARN,145.5746310691472
host-a,INFO,39.29732482474517
host-c,INFO,6.669432027297274
host-a,INFO,45.57471814640109
host-b,INFO,117.27722842704618
